аСЙБЮ;оНБРНПЕМХЪ;вЮЯРНРЮ
нх;1026;0.001531
ше;1019;0.0015206
сч;1009;0.0015057
сл;1006;0.0015012
кя;1003;0.0014967
яя;982;0.0014654
бм;977;0.0014579
хи;970;0.0014475
пъ;970;0.0014475
кч;969;0.001446
ью;960;0.0014326
хв;957;0.0014281
ох;953;0.0014221
эя;948;0.0014147
шу;945;0.0014102
сц;944;0.0014087
фм;934;0.0013938
вм;925;0.0013803
эй;899;0.0013415
юв;879;0.0013117
кш;879;0.0013117
хж;876;0.0013072
нь;867;0.0012938
сй;866;0.0012923
св;856;0.0012774
ео;855;0.0012759
юу;853;0.0012729
же;848;0.0012654
дб;844;0.0012595
бк;843;0.001258
ок;835;0.001246
юо;834;0.0012445
еь;834;0.0012445
ах;830;0.0012386
ак;812;0.0012117
вс;803;0.0011983
юи;798;0.0011908
фд;798;0.0011908
юа;796;0.0011878
мр;786;0.0011729
пм;785;0.0011714
ля;784;0.0011699
цх;773;0.0011535
са;771;0.0011505
йк;767;0.0011446
пр;766;0.0011431
хю;765;0.0011416
со;762;0.0011371
йе;760;0.0011341
аю;738;0.0011013
ос;725;0.0010819
еф;721;0.0010759
гб;721;0.0010759
юц;704;0.0010505
хп;704;0.0010505
сб;703;0.0010491
гд;699;0.0010431
яс;699;0.0010431
ых;698;0.0010416
цс;667;0.00099533
нъ;664;0.00099085
бс;659;0.00098339
дк;658;0.0009819
шр;655;0.00097742
ъд;653;0.00097444
шя;646;0.00096399
дш;640;0.00095504
йр;635;0.00094758
рй;624;0.00093116
еы;617;0.00092072
чя;607;0.0009058
дф;604;0.00090132
ую;602;0.00089833
кл;597;0.00089087
мя;585;0.00087297
пэ;583;0.00086998
бп;581;0.000867
жю;580;0.0008655
сь;568;0.0008476
ръ;565;0.00084312
ъм;560;0.00083566
мд;559;0.00083417
дэ;542;0.0008088
гн;536;0.00079985
ьэ;536;0.00079985
хь;527;0.00078642
ха;524;0.00078194
ну;524;0.00078194
ък;519;0.00077448
ир;518;0.00077299
еу;516;0.00077
хх;514;0.00076702
эь;504;0.00075209
ия;500;0.00074612
ъя;498;0.00074314
хц;477;0.0007118
бг;474;0.00070733
эе;465;0.0006939
сп;464;0.0006924
аъ;463;0.00069091
эч;460;0.00068643
яш;450;0.00067151
шь;450;0.00067151
чр;448;0.00066853
ьк;447;0.00066704
бь;442;0.00065957
йм;440;0.00065659
ыю;439;0.0006551
ьн;426;0.0006357
фс;420;0.00062674
гс;420;0.00062674
ьй;419;0.00062525
гш;406;0.00060585
пя;390;0.00058198
ге;388;0.00057899
лъ;384;0.00057302
пд;378;0.00056407
мй;374;0.0005581
кй;370;0.00055213
жх;368;0.00054915
им;363;0.00054169
эъ;363;0.00054169
еж;362;0.00054019
ша;362;0.00054019
гц;360;0.00053721
пл;357;0.00053273
рк;354;0.00052826
су;354;0.00052826
чы;353;0.00052676
ъе;352;0.00052527
хф;344;0.00051333
хч;344;0.00051333
км;343;0.00051184
сг;343;0.00051184
пф;337;0.00050289
ъб;334;0.00049841
ош;331;0.00049393
гл;330;0.00049244
дъ;328;0.00048946
пб;327;0.00048797
дя;319;0.00047603
се;318;0.00047454
тн;315;0.00047006
нч;313;0.00046707
яв;305;0.00045514
чд;304;0.00045364
ъл;304;0.00045364
ам;300;0.00044767
вй;300;0.00044767
ьм;298;0.00044469
гх;297;0.0004432
гк;288;0.00042977
ьс;286;0.00042678
кф;284;0.0004238
ид;283;0.00042231
пк;280;0.00041783
те;279;0.00041634
бъ;278;0.00041485
ча;278;0.00041485
оъ;273;0.00040738
шп;272;0.00040589
см;268;0.00039992
пй;267;0.00039843
дж;265;0.00039545
эл;262;0.00039097
вэ;260;0.00038798
юы;259;0.00038649
жн;257;0.00038351
бр;256;0.00038202
иь;255;0.00038052
кк;250;0.00037306
сы;246;0.00036709
дй;245;0.0003656
ны;241;0.00035963
тх;239;0.00035665
яд;236;0.00035217
бо;235;0.00035068
ен;235;0.00035068
це;232;0.0003462
мж;231;0.00034471
ъг;231;0.00034471
бд;229;0.00034173
уб;228;0.00034023
мц;227;0.00033874
пч;227;0.00033874
гп;226;0.00033725
бй;223;0.00033277
нн;222;0.00033128
ух;221;0.00032979
цм;220;0.00032829
гъ;220;0.00032829
еъ;218;0.00032531
еч;217;0.00032382
яп;217;0.00032382
хы;212;0.00031636
ъч;212;0.00031636
шй;210;0.00031337
ъф;210;0.00031337
ъы;207;0.0003089
йб;206;0.0003074
си;206;0.0003074
щм;206;0.0003074
жш;203;0.00030293
бэ;195;0.00029099
мв;195;0.00029099
эж;192;0.00028651
нс;191;0.00028502
ъц;191;0.00028502
фн;190;0.00028353
пц;189;0.00028204
ив;188;0.00028054
пь;188;0.00028054
ом;186;0.00027756
яч;183;0.00027308
ай;182;0.00027159
хо;180;0.0002686
чв;177;0.00026413
шм;176;0.00026264
мч;170;0.00025368
лк;169;0.00025219
шв;168;0.0002507
аы;167;0.00024921
ул;167;0.00024921
жс;166;0.00024771
ая;162;0.00024174
гй;159;0.00023727
хн;155;0.0002313
юх;152;0.00022682
нт;152;0.00022682
яу;152;0.00022682
тю;152;0.00022682
ъу;150;0.00022384
ум;149;0.00022235
йя;148;0.00022085
уп;146;0.00021787
ес;144;0.00021488
аэ;143;0.00021339
ро;141;0.00021041
ют;140;0.00020891
цй;139;0.00020742
га;139;0.00020742
по;138;0.00020593
ло;137;0.00020444
щп;136;0.00020295
гэ;135;0.00020145
шо;133;0.00019847
кр;132;0.00019698
эр;132;0.00019698
пу;131;0.00019548
шц;130;0.00019399
до;128;0.00019101
ъп;127;0.00018952
ик;125;0.00018653
ъй;125;0.00018653
фй;124;0.00018504
кц;123;0.00018355
др;121;0.00018056
эг;121;0.00018056
нж;120;0.00017907
лй;119;0.00017758
бл;117;0.00017459
ыс;115;0.00017161
юс;112;0.00016713
ий;112;0.00016713
вь;111;0.00016564
ой;109;0.00016266
ящ;108;0.00016116
йщ;107;0.00015967
юж;106;0.00015818
рв;106;0.00015818
сх;104;0.00015519
ет;103;0.0001537
мп;103;0.0001537
ус;102;0.00015221
щй;102;0.00015221
рщ;101;0.00015072
ов;100;0.00014922
ук;97;0.00014475
лэ;96;0.00014326
мы;96;0.00014326
лп;93;0.00013878
ъв;92;0.00013729
аа;91;0.00013579
ех;91;0.00013579
рд;91;0.00013579
рж;91;0.00013579
ым;90;0.0001343
гф;89;0.00013281
ща;89;0.00013281
шд;88;0.00013132
ил;87;0.00012983
кв;87;0.00012983
хт;84;0.00012535
пв;84;0.00012535
щк;84;0.00012535
ин;83;0.00012386
тп;82;0.00012236
яь;81;0.00012087
тс;81;0.00012087
рр;80;0.00011938
ъъ;79;0.00011789
пп;78;0.0001164
сн;76;0.00011341
вн;75;0.00011192
оэ;73;0.00010893
жб;73;0.00010893
эа;72;0.00010744
лв;71;0.00010595
дд;70;0.00010446
лл;70;0.00010446
тт;68;0.00010147
ею;67;9.9981e-05
йй;67;9.9981e-05
сю;67;9.9981e-05
ал;65;9.6996e-05
нщ;65;9.6996e-05
дь;64;9.5504e-05
яа;64;9.5504e-05
шф;64;9.5504e-05
пщ;63;9.4012e-05
ьр;63;9.4012e-05
чп;62;9.2519e-05
шг;60;8.9535e-05
иж;59;8.8043e-05
бу;58;8.655e-05
ця;58;8.655e-05
кд;58;8.655e-05
чм;57;8.5058e-05
яф;56;8.3566e-05
ыэ;56;8.3566e-05
бв;55;8.2074e-05
ор;54;8.0581e-05
рч;53;7.9089e-05
фв;52;7.7597e-05
эв;52;7.7597e-05
ду;51;7.6105e-05
ау;49;7.312e-05
цв;49;7.312e-05
мб;49;7.312e-05
ъж;48;7.1628e-05
хщ;47;7.0136e-05
лц;47;7.0136e-05
чл;47;7.0136e-05
аб;46;6.8643e-05
дв;46;6.8643e-05
эц;46;6.8643e-05
ла;45;6.7151e-05
рл;45;6.7151e-05
тр;45;6.7151e-05
шы;45;6.7151e-05
йг;44;6.5659e-05
съ;44;6.5659e-05
щи;44;6.5659e-05
щл;44;6.5659e-05
ъи;44;6.5659e-05
фэ;43;6.4167e-05
яж;43;6.4167e-05
тк;42;6.2674e-05
пж;41;6.1182e-05
да;40;5.969e-05
дл;40;5.969e-05
па;40;5.969e-05
сщ;40;5.969e-05
ъх;40;5.969e-05
пг;39;5.8198e-05
йж;38;5.6705e-05
кщ;38;5.6705e-05
эд;37;5.5213e-05
эх;35;5.2229e-05
бб;34;5.0736e-05
ка;34;5.0736e-05
ра;34;5.0736e-05
ры;34;5.0736e-05
ъь;32;4.7752e-05
ад;31;4.626e-05
йф;31;4.626e-05
чг;30;4.4767e-05
ко;29;4.3275e-05
чк;29;4.3275e-05
яц;28;4.1783e-05
оо;27;4.0291e-05
чй;27;4.0291e-05
юн;26;3.8798e-05
фк;26;3.8798e-05
уя;26;3.8798e-05
бж;25;3.7306e-05
дч;24;3.5814e-05
хс;24;3.5814e-05
йу;24;3.5814e-05
уе;24;3.5814e-05
чч;24;3.5814e-05
цр;23;3.4322e-05
иг;23;3.4322e-05
ъо;23;3.4322e-05
шъ;22;3.2829e-05
чф;21;3.1337e-05
мг;20;2.9845e-05
ст;20;2.9845e-05
ур;20;2.9845e-05
кг;19;2.8353e-05
лт;19;2.8353e-05
мь;19;2.8353e-05
пы;18;2.686e-05
жй;18;2.686e-05
эб;18;2.686e-05
щя;18;2.686e-05
гр;17;2.5368e-05
йа;17;2.5368e-05
лр;17;2.5368e-05
лщ;17;2.5368e-05
ят;17;2.5368e-05
ьб;17;2.5368e-05
чу;17;2.5368e-05
аь;16;2.3876e-05
ио;16;2.3876e-05
мт;16;2.3876e-05
цл;15;2.2384e-05
кб;15;2.2384e-05
эн;15;2.2384e-05
лг;14;2.0891e-05
пт;14;2.0891e-05
рт;14;2.0891e-05
тц;14;2.0891e-05
щг;14;2.0891e-05
щу;14;2.0891e-05
чц;14;2.0891e-05
гг;13;1.9399e-05
уь;13;1.9399e-05
ьл;13;1.9399e-05
ьп;13;1.9399e-05
цц;12;1.7907e-05
гв;12;1.7907e-05
мф;12;1.7907e-05
оя;12;1.7907e-05
рь;12;1.7907e-05
тш;12;1.7907e-05
вк;12;1.7907e-05
аф;11;1.6415e-05
дг;11;1.6415e-05
фа;11;1.6415e-05
фф;11;1.6415e-05
гя;11;1.6415e-05
рц;11;1.6415e-05
ру;11;1.6415e-05
вп;11;1.6415e-05
ьо;11;1.6415e-05
що;11;1.6415e-05
чь;11;1.6415e-05
ар;10;1.4922e-05
ие;10;1.4922e-05
лж;10;1.4922e-05
оь;10;1.4922e-05
шж;10;1.4922e-05
эт;10;1.4922e-05
щц;10;1.4922e-05
цу;9;1.343e-05
дц;9;1.343e-05
фц;9;1.343e-05
фл;9;1.343e-05
йл;9;1.343e-05
рг;9;1.343e-05
ущ;9;1.343e-05
вб;9;1.343e-05
эы;9;1.343e-05
щд;9;1.343e-05
чи;9;1.343e-05
ъа;9;1.343e-05
ач;8;1.1938e-05
ба;8;1.1938e-05
ма;8;1.1938e-05
му;8;1.1938e-05
ьж;8;1.1938e-05
шх;8;1.1938e-05
бц;7;1.0446e-05
цб;7;1.0446e-05
иб;7;1.0446e-05
йь;7;1.0446e-05
яг;7;1.0446e-05
сс;7;1.0446e-05
уу;7;1.0446e-05
дт;6;8.9535e-06
ит;6;8.9535e-06
кь;6;8.9535e-06
лы;6;8.9535e-06
тв;6;8.9535e-06
жо;6;8.9535e-06
вл;6;8.9535e-06
щт;6;8.9535e-06
аж;5;7.4612e-06
ав;5;7.4612e-06
фя;5;7.4612e-06
иа;5;7.4612e-06
ню;5;7.4612e-06
шс;5;7.4612e-06
гж;4;5.969e-06
йэ;4;5.969e-06
кы;4;5.969e-06
ль;4;5.969e-06
мо;4;5.969e-06
ож;4;5.969e-06
ощ;4;5.969e-06
ып;4;5.969e-06
щъ;4;5.969e-06
цг;3;4.4767e-06
фб;3;4.4767e-06
гь;3;4.4767e-06
гч;3;4.4767e-06
их;3;4.4767e-06
ип;3;4.4767e-06
кт;3;4.4767e-06
лч;3;4.4767e-06
щб;3;4.4767e-06
щв;3;4.4767e-06
щч;3;4.4767e-06
чб;3;4.4767e-06
чо;3;4.4767e-06
аг;2;2.9845e-06
ащ;2;2.9845e-06
бы;2;2.9845e-06
иы;2;2.9845e-06
йт;2;2.9845e-06
йч;2;2.9845e-06
лу;2;2.9845e-06
мк;2;2.9845e-06
от;2;2.9845e-06
оч;2;2.9845e-06
сж;2;2.9845e-06
тм;2;2.9845e-06
тя;2;2.9845e-06
тэ;2;2.9845e-06
ув;2;2.9845e-06
уэ;2;2.9845e-06
вв;2;2.9845e-06
ьч;2;2.9845e-06
ще;2;2.9845e-06
чт;2;2.9845e-06
чж;2;2.9845e-06
юю;1;1.4922e-06
ац;1;1.4922e-06
бщ;1;1.4922e-06
ць;1;1.4922e-06
цщ;1;1.4922e-06
цч;1;1.4922e-06
фо;1;1.4922e-06
фп;1;1.4922e-06
ию;1;1.4922e-06
иц;1;1.4922e-06
иу;1;1.4922e-06
иъ;1;1.4922e-06
йц;1;1.4922e-06
ку;1;1.4922e-06
лб;1;1.4922e-06
мщ;1;1.4922e-06
оц;1;1.4922e-06
яы;1;1.4922e-06
тл;1;1.4922e-06
тщ;1;1.4922e-06
тч;1;1.4922e-06
тъ;1;1.4922e-06
уц;1;1.4922e-06
уй;1;1.4922e-06
жд;1;1.4922e-06
жл;1;1.4922e-06
вщ;1;1.4922e-06
ын;1;1.4922e-06
эо;1;1.4922e-06
щж;1;1.4922e-06
щь;1;1.4922e-06
щщ;1;1.4922e-06
чх;1;1.4922e-06
щМРПНОХЪ: 3.9927
