аСЙБЮ;оНБРНПЕМХЪ;вЮЯРНРЮ
рр;41;0.00012239
ым;41;0.00012239
пп;40;0.00011941
пв;40;0.00011941
оэ;39;0.00011642
тп;39;0.00011642
кв;38;0.00011344
тс;38;0.00011344
тт;38;0.00011344
ъъ;38;0.00011344
ал;37;0.00011045
ею;37;0.00011045
жб;37;0.00011045
нщ;36;0.00010747
пщ;36;0.00010747
лл;35;0.00010448
иж;34;0.0001015
лв;34;0.0001015
яа;34;0.0001015
эа;34;0.0001015
дь;32;9.5527e-05
сн;32;9.5527e-05
вн;32;9.5527e-05
шф;32;9.5527e-05
чп;32;9.5527e-05
бу;31;9.2542e-05
яф;31;9.2542e-05
сю;31;9.2542e-05
кд;30;8.9557e-05
ыэ;30;8.9557e-05
шг;29;8.6572e-05
чл;29;8.6572e-05
ъж;29;8.6572e-05
дд;28;8.3586e-05
фв;27;8.0601e-05
мб;27;8.0601e-05
ьр;27;8.0601e-05
эв;27;8.0601e-05
ду;26;7.7616e-05
йй;26;7.7616e-05
ау;25;7.4631e-05
ця;25;7.4631e-05
ор;25;7.4631e-05
па;25;7.4631e-05
чм;25;7.4631e-05
дв;24;7.1645e-05
фэ;24;7.1645e-05
пг;24;7.1645e-05
ра;24;7.1645e-05
рч;24;7.1645e-05
ъх;24;7.1645e-05
бв;23;6.866e-05
цв;23;6.866e-05
хщ;23;6.866e-05
рл;23;6.866e-05
сщ;23;6.866e-05
тк;23;6.866e-05
тр;23;6.866e-05
щи;23;6.866e-05
да;22;6.5675e-05
лц;22;6.5675e-05
яж;22;6.5675e-05
эд;22;6.5675e-05
кщ;21;6.269e-05
ры;21;6.269e-05
съ;21;6.269e-05
шы;21;6.269e-05
аб;20;5.9705e-05
дл;19;5.6719e-05
эх;19;5.6719e-05
щл;19;5.6719e-05
йж;18;5.3734e-05
ка;18;5.3734e-05
ла;18;5.3734e-05
эц;18;5.3734e-05
йг;17;5.0749e-05
бб;16;4.7764e-05
йф;16;4.7764e-05
уе;16;4.7764e-05
ъь;16;4.7764e-05
дч;15;4.4778e-05
оо;15;4.4778e-05
пж;15;4.4778e-05
уя;15;4.4778e-05
шъ;15;4.4778e-05
ад;14;4.1793e-05
цр;14;4.1793e-05
ко;14;4.1793e-05
чк;14;4.1793e-05
чч;14;4.1793e-05
ъи;14;4.1793e-05
ъо;14;4.1793e-05
фк;13;3.8808e-05
хс;13;3.8808e-05
кг;13;3.8808e-05
лт;13;3.8808e-05
щя;13;3.8808e-05
чй;13;3.8808e-05
бж;11;3.2837e-05
иг;11;3.2837e-05
йу;11;3.2837e-05
яц;11;3.2837e-05
ят;11;3.2837e-05
юн;10;2.9852e-05
ио;10;2.9852e-05
пт;10;2.9852e-05
чц;10;2.9852e-05
чф;10;2.9852e-05
цц;9;2.6867e-05
йа;9;2.6867e-05
лж;9;2.6867e-05
тц;9;2.6867e-05
жй;9;2.6867e-05
эб;9;2.6867e-05
чг;9;2.6867e-05
дг;8;2.3882e-05
фф;8;2.3882e-05
лр;8;2.3882e-05
мг;8;2.3882e-05
ст;8;2.3882e-05
тш;8;2.3882e-05
уь;8;2.3882e-05
вк;8;2.3882e-05
ьб;8;2.3882e-05
ьл;8;2.3882e-05
эн;8;2.3882e-05
щц;8;2.3882e-05
щу;8;2.3882e-05
ъа;8;2.3882e-05
гр;7;2.0897e-05
гв;7;2.0897e-05
лщ;7;2.0897e-05
мф;7;2.0897e-05
му;7;2.0897e-05
пы;7;2.0897e-05
рц;7;2.0897e-05
ьп;7;2.0897e-05
щг;7;2.0897e-05
чу;7;2.0897e-05
аф;6;1.7911e-05
аь;6;1.7911e-05
цл;6;1.7911e-05
гг;6;1.7911e-05
мт;6;1.7911e-05
мь;6;1.7911e-05
рь;6;1.7911e-05
ур;6;1.7911e-05
що;6;1.7911e-05
ар;5;1.4926e-05
фц;5;1.4926e-05
йь;5;1.4926e-05
кб;5;1.4926e-05
лы;5;1.4926e-05
ьо;5;1.4926e-05
ьж;5;1.4926e-05
эы;5;1.4926e-05
щд;5;1.4926e-05
чи;5;1.4926e-05
чь;5;1.4926e-05
ав;4;1.1941e-05
ба;4;1.1941e-05
цб;4;1.1941e-05
цу;4;1.1941e-05
ие;4;1.1941e-05
лг;4;1.1941e-05
ню;4;1.1941e-05
рт;4;1.1941e-05
ру;4;1.1941e-05
вп;4;1.1941e-05
шж;4;1.1941e-05
щт;4;1.1941e-05
бц;3;8.9557e-06
дц;3;8.9557e-06
дт;3;8.9557e-06
фа;3;8.9557e-06
фл;3;8.9557e-06
гя;3;8.9557e-06
иа;3;8.9557e-06
йл;3;8.9557e-06
ль;3;8.9557e-06
ма;3;8.9557e-06
оя;3;8.9557e-06
оь;3;8.9557e-06
рг;3;8.9557e-06
сс;3;8.9557e-06
уу;3;8.9557e-06
шх;3;8.9557e-06
эт;3;8.9557e-06
щъ;3;8.9557e-06
аж;2;5.9705e-06
ач;2;5.9705e-06
цг;2;5.9705e-06
фб;2;5.9705e-06
фя;2;5.9705e-06
гж;2;5.9705e-06
их;2;5.9705e-06
йэ;2;5.9705e-06
кт;2;5.9705e-06
кь;2;5.9705e-06
мо;2;5.9705e-06
тв;2;5.9705e-06
уэ;2;5.9705e-06
ущ;2;5.9705e-06
вб;2;5.9705e-06
ьч;2;5.9705e-06
шс;2;5.9705e-06
чб;2;5.9705e-06
аг;1;2.9852e-06
ащ;1;2.9852e-06
бы;1;2.9852e-06
фо;1;2.9852e-06
фп;1;2.9852e-06
гь;1;2.9852e-06
иб;1;2.9852e-06
ит;1;2.9852e-06
йт;1;2.9852e-06
йч;1;2.9852e-06
ку;1;2.9852e-06
кы;1;2.9852e-06
лу;1;2.9852e-06
лч;1;2.9852e-06
мк;1;2.9852e-06
от;1;2.9852e-06
ож;1;2.9852e-06
ощ;1;2.9852e-06
яг;1;2.9852e-06
сж;1;2.9852e-06
тл;1;2.9852e-06
тм;1;2.9852e-06
тя;1;2.9852e-06
тэ;1;2.9852e-06
тч;1;2.9852e-06
уц;1;2.9852e-06
ув;1;2.9852e-06
жд;1;2.9852e-06
жл;1;2.9852e-06
жо;1;2.9852e-06
вл;1;2.9852e-06
ын;1;2.9852e-06
эо;1;2.9852e-06
щб;1;2.9852e-06
ще;1;2.9852e-06
щь;1;2.9852e-06
щщ;1;2.9852e-06
щч;1;2.9852e-06
чо;1;2.9852e-06
щМРПНОХЪ: 3.9922
